A,B,CW,DQ,DR,DR51,DR52,DR53,TOTfreq
A3,B56,CW7,DQ6,DR13,NULL,DR52,NULL,6.01993e-05
A3,B57,CW6,DQ2,DR7,NULL,NULL,DR53,0.000220731
A3,B57,CW6,DQ5,DR1,NULL,NULL,NULL,5.0166e-05
A3,B57,CW6,DQ6,DR13,NULL,DR52,NULL,7.02325e-05
A3,B57,CW6,DQ6,DR15,DR51,NULL,NULL,0.000220731
A3,B57,CW6,DQ7,DR13,NULL,DR52,NULL,7.02325e-05
A3,B57,CW6,DQ9,DR7,NULL,NULL,DR53,0.001294284
A3,B57,CW9,DQ9,DR7,NULL,NULL,DR53,6.01993e-05
A3,B58,CW10,DQ6,DR13,NULL,DR52,NULL,6.01993e-05
A3,B58,CW10,DQ7,DR11,NULL,DR52,NULL,2.00664e-05
A3,B58,CW10,DQ8,DR4,NULL,NULL,DR53,2.00664e-05
A3,B63,CW14,DQ8,DR4,NULL,NULL,DR53,6.01993e-05
A3,B63,CW7,DQ6,DR13,NULL,DR52,NULL,0.000331096
A3,B63,CW7,DQ7,DR11,NULL,DR52,NULL,6.01993e-05
A3,B64,CW8,DQ2,DR7,NULL,NULL,DR53,0.000200664
A3,B64,CW8,DQ8,DR4,NULL,NULL,DR53,6.01993e-05
A3,B65,CW15,DQ5,DR1,NULL,NULL,NULL,6.01993e-05
